x,y,z
774003.3653,2632145.101,0.883665
774023.6294,2632142.823,0.884689
774043.6073,2632140.662,0.889317
774063.2887,2632138.612,0.895632
774082.663,2632136.668,0.901386
774101.722,2632134.823,0.90495
774120.4577,2632133.072,0.906096
774138.8603,2632131.409,0.905736
774156.9222,2632129.828,0.905089
774174.6339,2632128.323,0.909401
774191.9853,2632126.89,0.921716
774208.9666,2632125.521,0.935617
774225.5692,2632124.212,0.94155
774241.7863,2632122.957,0.939822
774257.6104,2632121.749,0.944103
774273.0316,2632120.583,0.961062
774288.0423,2632119.454,0.983939
774302.6366,2632118.355,1.007059
774316.8072,2632117.282,1.029638
774330.5469,2632116.229,1.052022
774343.8508,2632115.191,1.074236
774356.7133,2632114.162,1.09567
774369.1295,2632113.138,1.115704
774381.0957,2632112.114,1.134709
774392.6079,2632111.085,1.154478
774403.6637,2632110.047,1.176318
774414.2653,2632108.997,1.198977
774424.4237,2632107.934,1.218178
774434.1562,2632106.856,1.233722
774443.4814,2632105.765,1.249319
774452.4179,2632104.659,1.265761
774460.983,2632103.538,1.282126
774469.1944,2632102.403,1.298032
774477.0695,2632101.254,1.31412
774484.6247,2632100.091,1.330563
774491.8763,2632098.915,1.347201
774498.8404,2632097.725,1.363515
774505.5337,2632096.522,1.377862
774511.9725,2632095.306,1.38921
774518.1725,2632094.078,1.398597
774524.1498,2632092.836,1.407212
774529.9196,2632091.582,1.415493
774535.4973,2632090.314,1.423453
774540.8991,2632089.034,1.430788
774546.1408,2632087.74,1.436888
774551.2381,2632086.431,1.441663
774556.2059,2632085.107,1.446125
774561.0593,2632083.768,1.450608
774565.8142,2632082.411,1.453101
774570.4859,2632081.036,1.4521
774575.0894,2632079.641,1.450562
774579.6399,2632078.225,1.452277
774584.1525,2632076.786,1.454364
774588.6421,2632075.323,1.451748
774593.1236,2632073.834,1.446766
774597.6116,2632072.318,1.445862
774602.1207,2632070.773,1.448987
774606.6652,2632069.197,1.449564
774611.2583,2632067.59,1.443012
774615.9083,2632065.952,1.4337
774620.6182,2632064.284,1.427098
774625.3892,2632062.584,1.421059
774630.2235,2632060.853,1.411993
774635.1238,2632059.088,1.400389
774640.0919,2632057.288,1.38899
774645.1302,2632055.453,1.378819
774650.2414,2632053.58,1.369256
774655.428,2632051.667,1.359957
774660.6928,2632049.715,1.351104
774666.0389,2632047.719,1.34275
774671.4696,2632045.68,1.334748
774676.9873,2632043.594,1.327055
774682.5955,2632041.461,1.319798
774688.2979,2632039.278,1.313107
774694.0964,2632037.043,1.306993
774699.9944,2632034.755,1.301376
774705.9956,2632032.411,1.296135
774712.1027,2632030.01,1.29111
774718.319,2632027.55,1.286169
774724.6471,2632025.029,1.281204
774731.0903,2632022.445,1.276152
774737.6523,2632019.796,1.270999
774744.3358,2632017.081,1.265739
774751.1439,2632014.297,1.260384
774758.0794,2632011.444,1.254932
774765.1462,2632008.518,1.249374
774772.3485,2632005.517,1.243692
774779.6887,2632002.441,1.23783
774787.1701,2631999.288,1.231707
774794.7972,2631996.055,1.225209
774802.5746,2631992.74,1.218121
774810.5056,2631989.344,1.210104
774818.5915,2631985.867,1.200947
774826.8341,2631982.312,1.190846
774835.2351,2631978.683,1.180234
774843.796,2631974.982,1.16946
774852.5169,2631971.214,1.158661
774861.3984,2631967.383,1.147899
774870.442,2631963.493,1.13722
774879.6474,2631959.548,1.126622
774889.0151,2631955.553,1.116055
774898.5444,2631951.512,1.105388
774908.2357,2631947.429,1.094494
774918.0888,2631943.311,1.083338
774928.1036,2631939.16,1.072028
774938.2799,2631934.983,1.061288
774948.6177,2631930.784,1.054915
774959.117,2631926.567,1.056468
774969.7764,2631922.339,1.062727
774980.5941,2631918.104,1.065537
774991.57,2631913.868,1.063247
775002.7033,2631909.636,1.059211
775013.9933,2631905.412,1.054992
775025.4397,2631901.203,1.051877
775037.0407,2631897.012,1.050061
775048.795,2631892.847,1.049129
775060.7003,2631888.712,1.04835
775072.7548,2631884.612,1.047509
775084.9561,2631880.554,1.047127
775097.3017,2631876.543,1.04774
775109.7895,2631872.583,1.049265
775122.415,2631868.681,1.051505
775135.1733,2631864.842,1.054569
775148.056,2631861.068,1.058576
775161.0533,2631857.362,1.063464
775174.1606,2631853.722,1.069191
775187.3713,2631850.147,1.075734
775200.6785,2631846.636,1.083102
775214.0765,2631843.187,1.091279
775227.5598,2631839.797,1.100187
775241.1249,2631836.466,1.109727
775254.7656,2631833.19,1.119741
775268.4759,2631829.969,1.130034
775282.2549,2631826.799,1.140457
775296.0995,2631823.677,1.150835
775310.0038,2631820.603,1.160906
775323.9674,2631817.573,1.170821
775337.9869,2631814.585,1.181239
775352.058,2631811.637,1.192751
775366.1803,2631808.727,1.205516
775380.3531,2631805.851,1.219383
775394.5738,2631803.008,1.234129
775408.8415,2631800.195,1.249431
775423.1567,2631797.411,1.264847
775437.5208,2631794.651,1.279891
775451.9357,2631791.915,1.294606
775466.4047,2631789.199,1.309789
775480.9326,2631786.502,1.326378
775495.5273,2631783.821,1.344718
775510.2026,2631781.153,1.36458
775524.9755,2631778.499,1.385241
775539.8722,2631775.859,1.405161
775554.9369,2631773.238,1.421345
775570.2389,2631770.653,1.427739
764730.5886,2633891.854,0
764740.1676,2633888.939,0
764749.9092,2633885.517,0
764759.8339,2633881.728,0
764769.9399,2633877.658,0
764780.2161,2633873.37,0
764790.6493,2633868.91,0
764801.227,2633864.311,0
764811.9384,2633859.6,0
764822.7748,2633854.799,0
764833.7295,2633849.923,0
764844.7971,2633844.987,0
764855.9737,2633840,0
764867.2566,2633834.974,0
764878.6441,2633829.914,0
764890.1353,2633824.829,0
764901.7297,2633819.723,0
764913.4274,2633814.603,0
764925.2286,2633809.472,0
764937.1342,2633804.334,0
764949.1454,2633799.194,0
764961.2639,2633794.055,0
764973.4918,2633788.919,0
764985.8312,2633783.789,0
764998.2846,2633778.667,0
765010.8545,2633773.557,0
765023.5434,2633768.458,0
765036.354,2633763.374,0
765049.2892,2633758.305,0
765062.3518,2633753.252,0
765075.5449,2633748.217,0
765088.8716,2633743.199,0.000038
765102.3348,2633738.198,0
765115.9358,2633733.215,0
765129.6741,2633728.247,0.039038
765143.5487,2633723.296,0.026173
765157.5584,2633718.358,0.016306
765171.7019,2633713.433,0.060111
765185.9782,2633708.519,0
765200.3861,2633703.612,0
765214.9245,2633698.711,0.01421
765229.5921,2633693.813,0.014447
765244.3877,2633688.915,0
765259.3101,2633684.015,0
765274.3582,2633679.109,0
765289.5309,2633674.194,0
765304.8273,2633669.267,0
765320.2462,2633664.325,0
765335.7866,2633659.365,0
765351.4474,2633654.383,0
765367.2275,2633649.376,0
765383.1259,2633644.342,0
765399.1416,2633639.276,0
765415.274,2633634.175,0
765431.5223,2633629.035,0
765447.886,2633623.854,0
765464.3648,2633618.627,0
765480.9585,2633613.351,0
765497.6668,2633608.022,0
765514.4901,2633602.637,0
765531.4284,2633597.191,0
765548.4822,2633591.682,0
765565.6523,2633586.105,0
765582.9396,2633580.456,0
765600.3455,2633574.733,0
765617.8703,2633568.933,0
765635.5137,2633563.055,0
765653.2747,2633557.097,0
765671.1526,2633551.061,0
765689.1461,2633544.945,0
765707.2545,2633538.75,0
765725.4764,2633532.477,0
765743.8104,2633526.125,0
765762.2553,2633519.696,0
765780.81,2633513.19,0
765799.473,2633506.607,0
765818.243,2633499.948,0
765837.1187,2633493.214,0
765856.0989,2633486.405,0
765875.1823,2633479.523,0
