lat,longitude,magnitude of bed shear stress (N/m^2)
24.81210000000,89.59790000000,0.07913007
24.80720000000,89.59940000000,0.079668568
24.80250000000,89.60140000000,0.084047703
24.79810000000,89.60340000000,0.091193791
24.79410000000,89.60540000000,0.100414998
24.79030000000,89.60720000000,0.1080475
24.78650000000,89.60880000000,0.109302624
24.78250000000,89.61020000000,0.104380995
24.77830000000,89.61150000000,0.097797712
24.77390000000,89.61270000000,0.092705166
24.76930000000,89.61380000000,0.088792683
24.76470000000,89.61470000000,0.083667411
24.75980000000,89.61550000000,0.076008887
24.75470000000,89.61630000000,0.067725853
24.74930000000,89.61720000000,0.062162969
24.74380000000,89.61850000000,0.061010019
24.73810000000,89.62010000000,0.063292525
24.73240000000,89.62190000000,0.066661008
24.72680000000,89.62380000000,0.06940577
24.72130000000,89.62560000000,0.070637926
24.71580000000,89.62730000000,0.069913934
24.71030000000,89.62890000000,0.066978329
24.70470000000,89.63030000000,0.062939591
24.69900000000,89.63190000000,0.060026659
24.69340000000,89.63350000000,0.056600037
24.68800000000,89.63550000000,0.053197615
24.68280000000,89.63770000000,0.048786889
24.67810000000,89.64040000000,0.047617694
24.67400000000,89.64340000000,0.044042215
24.67030000000,89.64660000000,0.044130923
24.66690000000,89.64970000000,0.061003966
24.66370000000,89.65270000000,0.081718937
24.66060000000,89.65540000000,0.097079817
24.65750000000,89.65770000000,0.099200858
24.65420000000,89.65980000000,0.117839763
24.65050000000,89.66150000000,0.13807082
24.64610000000,89.66300000000,0.130018343
24.64120000000,89.66410000000,0.126181971
24.63590000000,89.66450000000,0.116736235
24.63050000000,89.66380000000,0.086940544
24.62470000000,89.66220000000,0.058161811
24.61830000000,89.66040000000,0.041464896
24.61110000000,89.65880000000,0.033406245
24.60340000000,89.65800000000,0.028721874
24.59590000000,89.65830000000,0.025363446
24.58970000000,89.65970000000,0.02602195
24.58490000000,89.66210000000,0.034243815
24.58100000000,89.66460000000,0.046736009
24.57680000000,89.66680000000,0.052457985
24.57180000000,89.66860000000,0.048509313
24.56600000000,89.67060000000,0.043779856
24.55970000000,89.67330000000,0.045643339
24.55320000000,89.67650000000,0.053240006
24.54610000000,89.67970000000,0.058831788
24.53810000000,89.68220000000,0.055965766
24.52880000000,89.68420000000,0.047160708
24.51880000000,89.68600000000,0.039027978
24.50860000000,89.68820000000,0.033495923
24.49890000000,89.69120000000,0.029436649
24.49050000000,89.69500000000,0.026419486
24.48420000000,89.69960000000,0.027733845
24.48020000000,89.70430000000,0.03890345
24.47750000000,89.70860000000,0.063223413
24.47510000000,89.71220000000,0.091798369
24.47240000000,89.71500000000,0.106455571
24.46910000000,89.71720000000,0.102698559
24.46540000000,89.71880000000,0.09053285
24.46130000000,89.72000000000,0.073039136
24.45690000000,89.72040000000,0.046636996
24.45200000000,89.72000000000,0.015674792
24.44110000000,89.71780000000,6.50E-26
24.43500000000,89.71700000000,7.47E-26
24.42890000000,89.71660000000,2.32E-26
24.42270000000,89.71640000000,2.29E-25
24.41620000000,89.71620000000,6.26E-25
24.40940000000,89.71590000000,4.00E-25
24.40210000000,89.71610000000,1.17E-25
24.39470000000,89.71720000000,2.44E-25
24.38740000000,89.71890000000,3.67E-25
24.38010000000,89.72080000000,3.42E-25
24.37280000000,89.72220000000,1.44E-23
24.36520000000,89.72260000000,1.07E-23
24.35750000000,89.72230000000,2.33E-24
24.34990000000,89.72120000000,2.11E-24
24.34240000000,89.71970000000,7.40E-25
24.33490000000,89.71800000000,1.34E-24
24.32750000000,89.71640000000,3.16E-24
24.32030000000,89.71510000000,3.21E-24
24.31340000000,89.71390000000,1.88E-24
24.30660000000,89.71280000000,1.00E-24
24.30000000000,89.71160000000,5.01E-25
24.29350000000,89.71040000000,1.75E-25
24.28720000000,89.70920000000,1.85E-25
24.28080000000,89.70800000000,1.17E-25
24.27420000000,89.70670000000,8.36E-26
24.26740000000,89.70540000000,1.65E-26
24.26030000000,89.70420000000,1.23E-26
24.25310000000,89.70370000000,8.53E-27
